No Soal ,Kunci Jawaban,Siswa ,Jawaban
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_2 ,"sumber tenaga, pemanis alami, menjaga sistem imun, dan sebagai keseimbangan tubuh "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_3 ,"sebagai sumber energi, pemanis alami, menjaga sistem imun tubuh, mengoptimalkan kerja protein "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_4 ,1. Sebagai energi. 2. Sebagai memperlancaar pencernaan. 3. Sebagai sistem imun. 4. Sebagai cadangan lemak. 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_6 ,"untuk membuat kenyang, agar tidak lapar, agar kuat dan sehat, dapat melakukan aktivitas "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_7 ,Karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh. Karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak. Fungsi karbohidrat yang utama adalah sebagai pemasok energi. Makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan. 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_8 ,1. untuk menjaga sistem imun tubuh 2. untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3. mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4. pemasok energi 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_9 ,1. untuk menjaga sistem imun tubuh 2. untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3. mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4. pemasok energi 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_10 ,"Menambah energi dalam tubuh, untuk proses metabolisme, memperlancar proses pencernaan, untuk mengoptimalkan kerja protein. "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_11 ,"kegunaan karbohidrat untuk tubuh kita adalah menambah energi, proses metabolisme dalam tubuh, memperlancar proses pencernaan, dan berfungsi untuk mengoptimalkan kerja protein dalam tubuh. "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_12 ,sebagai sumber energi bagi tubuh penghasil gula darah penghasil enzim yang baik bagi lambung menyehatkan usus 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_13 ,1. sebagai sumber energi pada tubuh 2. sebagai penghasil gula darah 3. sebagai sumber tenaga 4. sebagai pemenuh kebutuhan tubuh 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_14 ,"Untuk sumber energi, Untuk pembentuk sel, Sebagai sumber tenaga, Sebagai pembentuk daging "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_16 ,1) Kegunaannya untuk memberikan tenaga bagi tubuh kita 2) memberikan energi 3) memberikan lemak 4) memberikan efek kenyang bagi tubuh kita 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_17 ,kesehetan pertumbuhan 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_18 ,"menjaga metabolisme tubuh, menjaga, menjaga stamina tetap stabil, membuat seseorang bergairah, dan menjaga keseimbangan tubuh terutama keasaman tubuh "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_19 ,1.Tenaga 2.Energi 3.Makanan 4.Nasi 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_20 ,ntuk menambah energ 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_21 ,"membuat tubuh tahan banting, agar membuat tubuh terlihat bugar, agar badan tidak lemas, agar tetap sehat "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_22 ,Sumber tenaga. Sumber kalori. Membentuk massa otot. Memperkuat tulang 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_23 ,"tenaga, kesehatan, tulang, dan tubuh "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_24 ,nutrisi untuk tubuh menambah kekuatan mochi macho 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_25 ,"sebagai tenaga, untuk mengganjel perut, untuk kesehatan, agar tidak kelaparan "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_26 ,1. menambah tenaga 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_31 ,mendapat tenaga 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_28 ,1. Sumber Energi Tubuh 2. Mengendalikan Berat Badan 3. Karbohidrat untuk Mencegah Penyakit 4. Memelihara Kesehatan Jantung 5. Mendukung Fungsi Pencernaan 6. Meningkatkan Penyerapan Nutrisi 7. Mencegah Kerusakan Jaringan Otot 8. Mengatur Kenaikan Kadar Gula dalam Darah 9. Mencukupi Kebutuhan Fitonutrien 10. Mendukung Fungsi Otak 11. Mengatasi Kecemasan 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_33 ,Karbohidrat merupakan salah satu komponen sebagai sumber tenaga dalam tubuh kita 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_34 ,Kegunaan karbohidrat: -sumber energi -pengendalian berat badan -pencegahan penyakit 
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_35 ,"Karbohidrat digunakan untuk nutrisi tubuh, sumber energi, sebagai glukosa, dan memberikan tenaga cadangan. "
1,"Fungsi karbohidrat adalah sebagai pemasok energi, dapat memperlancar proses pada pencernaan, memberikan efek kenyang dengan kandungan selulosa-nya dan penyeimbang asam dan basa dalam tubuh",siswa_36 ,karbohidrat sebagai sumber energi bagi tubuh manusia 
