"nama","answer_text","keyAnswer","studentAnswer","studentName"
"Student 1","The lack of career -- based courses in US high schools","We have a lack of careers here in the US, especially for the highschoolers","The lack of career -- based courses in US high schools","Student 1"
"Student 2","the sun is out at night","We have a lack of careers here in the US, especially for the highschoolers","the sun is out at night","Student 2"
"Student 3","have to get confirmed at least twice","We have a lack of careers here in the US, especially for the highschoolers","have to get confirmed at least twice","Student 3"
"Student 4","nobody made room for him in the water .","We have a lack of careers here in the US, especially for the highschoolers","nobody made room for him in the water .","Student 4"
"Student 5","There are twelve countries in the World Wildlife Fund .","We have a lack of careers here in the US, especially for the highschoolers","There are twelve countries in the World Wildlife Fund .","Student 5"
"Student 6","it may make it difficult for customers to recover their data","We have a lack of careers here in the US, especially for the highschoolers","it may make it difficult for customers to recover their data","Student 6"
"Student 7","how Billy made blueberry juice with his uncle","We have a lack of careers here in the US, especially for the highschoolers","how Billy made blueberry juice with his uncle","Student 7"
"Student 8","The snail 's teeth ca n't be worn out ..","We have a lack of careers here in the US, especially for the highschoolers","The snail 's teeth ca n't be worn out ..","Student 8"
"Student 9","Eat the food your host family gives you .","We have a lack of careers here in the US, especially for the highschoolers","Eat the food your host family gives you .","Student 9"
"Student 10","how to make a meaningful DIY card","We have a lack of careers here in the US, especially for the highschoolers","how to make a meaningful DIY card","Student 10"
"Student 11","Because he enjoys playing with children .","We have a lack of careers here in the US, especially for the highschoolers","Because he enjoys playing with children .","Student 11"
"Student 12","A person who posts text or photos in a blog .","We have a lack of careers here in the US, especially for the highschoolers","A person who posts text or photos in a blog .","Student 12"
"Student 13","the voyage of the Beagle","We have a lack of careers here in the US, especially for the highschoolers","the voyage of the Beagle","Student 13"
"Student 14","He pulled a plate to the floor .","We have a lack of careers here in the US, especially for the highschoolers","He pulled a plate to the floor .","Student 14"
"Student 15","Learn to forgive others and remember to be thankful to others .","We have a lack of careers here in the US, especially for the highschoolers","Learn to forgive others and remember to be thankful to others .","Student 15"
"Student 16","give true information about goods","We have a lack of careers here in the US, especially for the highschoolers","give true information about goods","Student 16"
"Student 17","its dishonesty in business","We have a lack of careers here in the US, especially for the highschoolers","its dishonesty in business","Student 17"
"Student 18","Li Yun can sing very well .","We have a lack of careers here in the US, especially for the highschoolers","Li Yun can sing very well .","Student 18"
"Student 19","Most of them are willing to go to university .","We have a lack of careers here in the US, especially for the highschoolers","Most of them are willing to go to university .","Student 19"
"Student 20","A supper runner -- Patti Wilson","We have a lack of careers here in the US, especially for the highschoolers","A supper runner -- Patti Wilson","Student 20"
"Student 21","make an appearance at the starting day","We have a lack of careers here in the US, especially for the highschoolers","make an appearance at the starting day","Student 21"
"Student 22","To give the readers brief introduction of solar ovens .","We have a lack of careers here in the US, especially for the highschoolers","To give the readers brief introduction of solar ovens .","Student 22"
"Student 23","Mark Twain 's","We have a lack of careers here in the US, especially for the highschoolers","Mark Twain 's","Student 23"
"Student 24","admit we were wrong and try to make the wrong right","We have a lack of careers here in the US, especially for the highschoolers","admit we were wrong and try to make the wrong right","Student 24"
"Student 25","He lets the ice cream warm up .","We have a lack of careers here in the US, especially for the highschoolers","He lets the ice cream warm up .","Student 25"
"Student 26","he is confident in the tremor - resistant home","We have a lack of careers here in the US, especially for the highschoolers","he is confident in the tremor - resistant home","Student 26"
"Student 27","Golf is bad for people 's health","We have a lack of careers here in the US, especially for the highschoolers","Golf is bad for people 's health","Student 27"
"Student 28","After receiving the medical treatment , Jobs was in good health again .","We have a lack of careers here in the US, especially for the highschoolers","After receiving the medical treatment , Jobs was in good health again .","Student 28"
"Student 29","the third woman was too fat","We have a lack of careers here in the US, especially for the highschoolers","the third woman was too fat","Student 29"
